Country,Rank,PDS,Permalink,Opportunity ID,"Gift Margin (Mar 2026, USD)",Tag Action
PL,77,Off-Roading / Jeep,https://groupon.pl/deals/zajac-4x4-off-road,006Uj00000MyX1HIAV,334.01,OK
PL,78,Tour - Flying,https://groupon.pl/deals/flybywire-2,0063c00001It3OUAAZ,333.2,OK
PL,79,Massage - Full Body,https://groupon.pl/deals/evestetic-3,006Uj00000Y8TFlIAN,328.7,OK
PL,80,Massage - Full Body,https://groupon.pl/deals/zhanna-levi,006Uj00000SNEzpIAH,323.72,OK
PL,81,Massage - Full Body,https://groupon.pl/deals/gabinet-masazu-kalatea,006TU00000KyKUVYA3,322.99,OK
PL,82,Amusement Park,https://groupon.pl/deals/majaland-3,006Uj00000Z7Rk6IAF,320.95,OK
PL,83,Spa - Day Pass,https://groupon.pl/deals/beauty-derm-instytut-centrum-spa-3,006Uj000002uAd3IAE,320.24,OK
PL,84,Massage - Full Body,https://groupon.pl/deals/aurora-clinic-spa-2-5,006TU00000LKl1uYAD,312.88,OK
PL,85,Hotel - Spa - Beach,https://groupon.pl/deals/ga-bethel-ustronie-morskie-1,006Uj00000VHhRhIAL,312.23,OK
PL,86,Massage - Full Body,https://groupon.pl/deals/prestige-clinique-2-1,006Uj00000HF7U6IAL,306.56,OK
PL,87,"Massage - Specific Body Part (Hand, Neck, Head)",https://groupon.pl/deals/imasaz-1-1,006Uj00000XSm6jIAD,302.18,OK
PL,88,Massage - Full Body,https://groupon.pl/deals/medical-agnes-1,006TU00000JYPDxYAP,299.24,OK
PL,89,Massage - Full Body,https://groupon.pl/deals/odnowa-horus-spa,006Uj00000a3yFpIAI,297.91,OK
PL,90,Spa - Day Pass,https://groupon.pl/deals/thai-world-spa-13,006Uj00000YLKUnIAP,296.69,OK
PL,91,Massage - Oriental,https://groupon.pl/deals/thailantis-tajski-masaz-spa,006Uj00000BL0jRIAT,296.28,OK
PL,92,Massage - Full Body,https://groupon.pl/deals/hej-piekna-gabinet-kosmetologiczny-agata-jedynak-1,006Uj00000Ncmb3IAB,292.02,OK
PL,93,Massage - Oriental,https://groupon.pl/deals/sen-orientu-masaz-bali-spa,006Uj00000TfdUcIAJ,287.5,OK
PL,94,Massage - Full Body,https://groupon.pl/deals/rajska-wyspa-wellness-beauty-massage,006TU00000JYDG1YAP,284.16,OK
PL,95,Shooting Range,https://groupon.pl/deals/giwera-2,0063c00001JtJmxAAF,283.57,OK
PL,96,Massage - Single Choice - In Spa,https://groupon.pl/deals/nefrezja-kompleksowe-uslugi-kosmetyczne-2,006Uj000005S2btIAC,281.58,OK
PL,97,Flight Simulator,https://groupon.pl/deals/simair-flight-simulation-center-3,006Uj000007PgJNIA0,280.33,OK
PL,98,Massage - Full Body,https://groupon.pl/deals/beauty-dream-1-1,006Uj00000XGftpIAD,279.3,OK
PL,99,PC Software,https://groupon.pl/deals/rapid-key-store-4,006Uj00000NUS85IAH,278.94,ADD top-gifts-v2
PL,100,Massage - Full Body,https://groupon.pl/deals/my-secret-beauty-zone,006Uj00000XBYszIAH,274.03,OK
UK,1,Spa - Day Pass,https://groupon.co.uk/deals/bannatyne-s-health-club-h-o-6-1,006TU00000LGqUnYAL,8860.99,OK
UK,2,High-End / Sport Car,https://groupon.co.uk/deals/car-chase-heroes-ltd-5-10,006Uj00000O1GT7IAN,4555.87,OK
UK,3,Spa - Day Pass,https://groupon.co.uk/deals/the-belfry-20,006Uj00000DXUCjIAP,4241.2,OK
UK,4,Spa - Day Pass,https://groupon.co.uk/deals/lion-quays-waterside-resort,006Uj00000FfVjxIAF,3487.32,OK
UK,5,Tea - Afternoon,https://groupon.co.uk/deals/the-sunborn-hotel-non-accom,0063c00001LvHBfAAN,3115.87,OK
UK,6,Spa - Day Pass,https://groupon.co.uk/deals/doubletree-by-hilton-cadbury-house-5-1,006TU00000JuWf0YAF,2934.68,OK
UK,7,Tea - Afternoon,https://groupon.co.uk/deals/huffkins-oxford-street-huffkins-at-john-lewis-partners-1,006Uj000009sf0zIAA,2753.64,OK
UK,8,American - Casual,https://groupon.co.uk/deals/las-iguanas-1,006TU00000Kpw85YAB,2733.09,OK
UK,9,High-End / Sport Car,https://groupon.co.uk/deals/car-chase-heroes-ltd-1-10,006Uj00000FqhrRIAR,2485.66,OK
UK,10,Spa - Day Pass,https://groupon.co.uk/deals/voco-winchester-hotel-spa-1,006Uj00000YbH7xIAF,2387.66,OK
UK,11,Bath House / Hammam,https://groupon.co.uk/deals/crystal-palace-spa-17,0063c00001LvH4yAAF,2295.36,OK
UK,12,Pottery Painting Course,https://groupon.co.uk/deals/token-studio-1,006Hr00001M3aVTIAZ,2124.31,OK
